
2024/11/24 (08:54:53) | ===> btop++ v.1.4.0
2024/11/24 (08:54:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/27 (11:19:13) | ===> btop++ v.1.4.0
2024/11/27 (11:19:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/27 (11:24:07) | ===> btop++ v.1.4.0
2024/11/27 (11:24:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/27 (11:26:28) | ===> btop++ v.1.4.0
2024/11/27 (11:26:28) | WARNING: Intel GPU: Failed to initialize PMU
2024/11/27 (11:26:28) | ERROR: Invalid size of hex value: 1e1e2eee

2024/11/27 (11:26:36) | ===> btop++ v.1.4.0
2024/11/27 (11:26:36) | WARNING: Intel GPU: Failed to initialize PMU
2024/11/27 (11:26:36) | ERROR: Invalid size of hex value: 1e1e2eee

2024/11/27 (11:26:57) | ===> btop++ v.1.4.0
2024/11/27 (11:26:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/27 (11:27:13) | ===> btop++ v.1.4.0
2024/11/27 (11:27:13) | WARNING: Intel GPU: Failed to initialize PMU
2024/11/27 (11:27:13) | ERROR: Invalid size of hex value: 1e1e2ee

2024/11/27 (11:27:22) | ===> btop++ v.1.4.0
2024/11/27 (11:27:22) | WARNING: Intel GPU: Failed to initialize PMU
2024/11/27 (11:27:22) | ERROR: Invalid size of hex value: 1e1e2ee

2024/11/27 (11:27:35) | ===> btop++ v.1.4.0
2024/11/27 (11:27:35) | WARNING: Intel GPU: Failed to initialize PMU
2024/11/27 (11:27:35) | ERROR: Invalid size of hex value: 1e1e2ff

2024/11/27 (11:27:56) | ===> btop++ v.1.4.0
2024/11/27 (11:27:56) | WARNING: Intel GPU: Failed to initialize PMU
2024/11/27 (11:27:56) | ERROR: Invalid size of hex value: 1e1e200

2024/11/27 (11:29:01) | ===> btop++ v.1.4.0
2024/11/27 (11:29:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/27 (11:30:04) | ===> btop++ v.1.4.0
2024/11/27 (11:30:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/27 (11:31:52) | ===> btop++ v.1.4.0
2024/11/27 (11:31:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/27 (11:33:25) | ===> btop++ v.1.4.0
2024/11/27 (11:33:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/27 (11:37:25) | ===> btop++ v.1.4.0
2024/11/27 (11:37:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/27 (11:49:27) | ===> btop++ v.1.4.0
2024/11/27 (11:49:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/27 (11:54:17) | ===> btop++ v.1.4.0
2024/11/27 (11:54:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/27 (11:54:39) | ===> btop++ v.1.4.0
2024/11/27 (11:54:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/29 (06:45:40) | ===> btop++ v.1.4.0
2024/11/29 (06:45:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/29 (06:46:19) | ===> btop++ v.1.4.0
2024/11/29 (06:46:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/09 (21:08:59) | ===> btop++ v.1.4.0
2024/12/09 (21:08:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/10 (00:58:07) | ===> btop++ v.1.4.0
2024/12/10 (00:58:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (04:49:48) | ===> btop++ v.1.4.0
2024/12/13 (04:49:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (04:50:53) | ===> btop++ v.1.4.0
2024/12/13 (04:50:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (04:57:56) | ===> btop++ v.1.4.0
2024/12/13 (04:57:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (04:58:26) | ===> btop++ v.1.4.0
2024/12/13 (04:58:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (04:59:19) | ===> btop++ v.1.4.0
2024/12/13 (04:59:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (05:18:45) | ===> btop++ v.1.4.0
2024/12/13 (05:18:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (05:20:41) | ===> btop++ v.1.4.0
2024/12/13 (05:20:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (05:42:50) | ===> btop++ v.1.4.0
2024/12/13 (05:42:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (05:45:00) | ===> btop++ v.1.4.0
2024/12/13 (05:45:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (06:07:10) | ===> btop++ v.1.4.0
2024/12/13 (06:07:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (06:07:46) | ===> btop++ v.1.4.0
2024/12/13 (06:07:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (06:10:43) | ===> btop++ v.1.4.0
2024/12/13 (06:10:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (06:24:59) | ===> btop++ v.1.4.0
2024/12/13 (06:24:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (06:25:41) | ===> btop++ v.1.4.0
2024/12/13 (06:25:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (06:26:17) | ===> btop++ v.1.4.0
2024/12/13 (06:26:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (06:32:12) | ===> btop++ v.1.4.0
2024/12/13 (06:32:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/19 (19:19:32) | ===> btop++ v.1.4.0
2024/12/19 (19:19:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/30 (09:12:44) | ===> btop++ v.1.4.0
2024/12/30 (09:12:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/30 (11:52:13) | ===> btop++ v.1.4.0
2024/12/30 (11:52:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/30 (18:09:31) | ===> btop++ v.1.4.0
2024/12/30 (18:09:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/01 (18:05:45) | ===> btop++ v.1.4.0
2025/01/01 (18:05:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/02 (18:25:49) | ===> btop++ v.1.4.0
2025/01/02 (18:25:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/03 (00:26:21) | ===> btop++ v.1.4.0
2025/01/03 (00:26:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/05 (10:16:12) | ===> btop++ v.1.4.0
2025/01/05 (10:16:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (22:21:32) | ===> btop++ v.1.4.0
2025/01/10 (22:21:32) | WARNING: Intel GPU: Failed to initialize PMU
